232;Boyd;USA;Fletcher-class destroyer;1943;to Turkey 1969, scrapped 1981
233;Boyle;USA;Benson-class destroyer;1942;decommissioned 1946, sunk as target 1973
234;Brackett;USA;Evarts class destroyer escort;1943;scrapped 1947
235;Bracui;USA�Brazil;Cannon-class destroyer escort;1944;Decommissioned 11 July 1972
236;HMS Bradford;USA�UK;Town class destroyer;1940;scrapped 1946
237;Bradford;USA;Fletcher-class destroyer;1943;to Greece 1962, scrapped 1981
238;Braine;USA;Fletcher-class destroyer;1943;to Argentina 1971, sunk as target 1983
239;Branch;USA�UK;Clemson class destroyer;2020;to UK 8 October 1940 as HMS Beverly
240;Brandenburg;German;minelayer;1943;sunk 21 September 1943
241;Brazen;UK;B-class destroyer;1931;sunk 20 July 1940
242;Breckinridge;USA;Wickes class destroyer;2019;scrapped 1946
243;Breeman;USA;Cannon class destroyer escort;1943;to Republic of China 1948, scrapped 1972
244;Breese;USA;Wickes-class destroyer-minelayer;2018;scrapped May 1946
245;Bremerton;USA;Baltimore-class heavy cruiser;1945;decommissioned 1960, scrapped 1974
246;Brennan;USA;Evarts class destroyer escort;1943;scrapped 1946
247;Bretagne;France;Bretagne-class battleship;2015;sunk 3 July 1940
248;Breton;USA;Bogue-class escort carrier;1943;decommissioned 1946, scrapped 1972
249;Bright;USA;Cannon class destroyer escort;1944;to France 1950, scrapped 1965
250;Brighton;USA�UK�USSR;Town class destroyer;1940;to USSR as Zharki 16 July 1944
251;Brilliant;UK;B-class destroyer;1931;scrapped Aug 1947
252;Brister;USA;Edsall class destroyer escort;1943;scrapped 1968
253;Bristol (I);USA;Gleaves class destroyer;1941;sunk 13 October 1943
254;Bristol (II);USA;Sumner class destroyer;1945;to Taiwan 1969, scrapped 1993
255;Broadwater;USA�UK;Town class destroyer;1940;sunk 18 October 1941
256;Broadway;USA�UK;Town class destroyer;1940;scrapped 1947
257;Bronstein;USA;Cannon class destroyer escort;1943;to Uruguay 1952, scrapped 1988
258;Brooklyn;USA;Brooklyn-class light cruiser;1937;Decommissioned 3 January 1947, sold to Chile. Sank in Pacific 1992
259;Brooks;USA;Clemson class destroyer;2020;constructive loss 6 January 1945, scrapped
260;Broome;USA;Clemson class destroyer;2019;scrapped 1946
261;Brough;USA;Edsall class destroyer escort;1943;scrapped 1967
262;Brown;USA;Fletcher-class destroyer;1943;to Greece 1962, scrapped 1981
263;Brownson;USA;Fletcher class destroyer;1943;sunk 26 December 1943
265;Brush;USA;Sumner class destroyer;1944;to Taiwan 1969
266;Bryant;USA;Fletcher-class destroyer;1943;decommissioned 1947, sunk as a target 1969
267;Buchanan�(DD-131);USA�UK;Wickes-class destroyer;2019;to UK as HMS�Campbeltown 9 September 1940, expended as bomb-ship at St Nazaire 29 March 1942
268;Buchanan (II);USA;Gleaves class destroyer;1942;to Turkey 1949, scrapped 1976
269;Buck;USA;Sims-class destroyer;1940;sunk 9 October 1943
270;Buckley;USA;Buckley class destroyer escort;1943;scrapped 1969
271;Buenos Aires;Argentina;Buenos Aires class destroyer;1905;1971
272;Bull;USA;Buckley class destroyer escort;1943;to Taiwan 1966, scrapped 1995
273;Bullard;USA;Fletcher-class destroyer;1943;decommissioned 1946, scrapped 1973
274;Bulldog;UK;B-class destroyer;1931;scrapped Jan 1946
275;Bulmer;USA;Clemson class destroyer;2020;scrapped 1947
276;Bunch;USA;Buckley class destroyer escort;1943;decommissioned 1946, scrapped 1965
277;Bunker Hill;USA;Essex-class aircraft carrier;1943;decommissioned 9 January 1947, scrapped 1973
278;Burden R. Hastings;USA;Evarts class destroyer escort;1943;scrapped 1946
