ID;Ship;Country;Type;Tahun Produksi;Fate
1122;Schlesien;German;Deutschland-class pre-dreadnought battleship;05-May-08;blown up 4 May 1945
1123;Schleswig-Holstein;German;Deutschland-class pre-dreadnought battleship;06-Jul-08;scrapped after 1946
1124;Schubrick;USA;Gleaves class destroyer;07-Feb-43;scrapped 1947
1125;Scipione Africano;Italy;Capitani Romani class light cruiser (also known as exploratori oceanici);;
1126;Scylla;UK;Dido class anti-aircraft cruiser;12-Jun-42;declared constructive total loss 23 June 1944, scrapped May 1950.
1128;Seeadler;German;1923 (Raubvogel) class torpedoboat;01-May-27;sunk 13 May 1942
1129;Selfridge;USA;Porter class destroyer leader;25-Nov-36;scrapped 1947
1130;Semmes;USA;Clemson class destroyer;21-Feb-20;scrapped 25 November 1946
1131;Sendai;Japan;Sendai class light cruiser;29-Apr-24;sunk 2 November 1943
1133;Serrano;Chile;Serrano class destroyer;;Discarded 1967
1135;S?p;Poland;Orze? class submarine;16-Apr-39;decommissioned 15 September 1969
1137;Shangri-La;USA;Essex class fleet carrier;15-Sep-44;decommissioned 30 July 1971, scrapped 1988
1138;Shaw;USA;Mahan class destroyer;18-Sep-36;scrapped 1946
1139;Shinano;Japan;aircraft carrier;19-Nov-44;sunk 29 November 1944
1140;Shinyo;Japan;aircraft carrier;;sunk 17 November 1944
1141;Sh?h?;Japan;aircraft carrier;;sunk 8 May 1942
1142;Sh?kaku;Japan;Shokaku class aircraft carrier;08-Aug-41;sunk 19 June 1944
1143;Sikh;UK;Tribal class destroyer;12-Oct-38;sunk 17 January 1941
1144;Sims;USA;Sims class destroyer;01-Aug-39;sunk 7 May 1942
1145;Skagerak;German;Minelayer, converted former Norwegian merchant ship Skagerrak I;1940;Sunk 20 January 1944 by Bristol Beaufighters of No. 489 Squadron RNZAF
1146;Skeena;Canada;A class destroyer;10-Jun-31;sunk 25 October 1944
1150;Smith;USA;Mahan class destroyer;19-Sep-36;scrapped 1946
1151;Soemba;Netherlands;Flores class sloop;12-Apr-26;scrapped June/July 1985
1152;Sollum;Kingdom of Egypt;sloop;;
1153;Somali;UK;Tribal class destroyer;12-Dec-38;sunk 24 September 1942
1155;Somers;USA;Somers class destroyer leader;01-Dec-37;scrapped 1947
1156;S?ry?;Japan;S?ry? class aircraft carrier;;sunk 5 June 1942
1157;South Dakota;USA;South Dakota class class battleship;20-Mar-42;decommissioned 31 January 1947, scrapped 1962
1158;Southampton;UK;Southampton class light cruiser;06-Mar-37;bombed and scuttled 11 January 1941
1160;Spetsai;Greece;modified Freccia class destroyer;1933;decommissioned 1946
1161;USS Springfield;USA;Cleveland class light cruiser;09-Sep-44;converted to Providence Class Guided Missile Cruiser 1960, decommissioned 1974, scrapped 1980
1163;St. Louis;USA;St. Louis class light cruiser;19-May-39;to Brazil as Tamandare 1951, sunk under tow 1980
